"Name","Code","Beschreibung"
"f1",1,"Sehr ungern"
"f1",2,"Eher ungern"
"f1",3,"Eher gerne"
"f1",4,"Sehr gerne"
"f1",98,"Weiss nicht"
"f1",99,"Keine Angabe"
"f10",1,"Schlechter als heute"
"f10",2,"Bleibt gleich"
"f10",3,"Besser als heute"
"f10",88,"Doppelnennungen"
"f10",98,"Weiss nicht"
"f10",99,"Keine Angabe"
"f11",1,"Überhaupt nicht"
"f11",2,"Wenig"
"f11",3,"Mittel"
"f11",4,"Stark"
"f11",5,"Sehr stark"
"f11",88,"Doppelnennungen"
"f11",98,"Weiss nicht"
"f11",99,"Keine Angabe"
"f12",1,"Überhaupt nicht gut"
"f12",2,"Nicht sehr gut"
"f12",3,"Relativ gut"
"f12",4,"Sehr gut"
"f12",88,"Doppelnennungen"
"f12",98,"Weiss nicht"
"f12",99,"Keine Angabe"
"f13a",1,"Politische Richtung des Gemeinde- bzw. Stadtrates"
"f13a",10,"Langfristige Massnahmen fehlen"
"f13a",11,"Geld falsch eingesetzt"
"f13a",12,"Zu zögernd"
"f13a",17,"Zu zögernd (schleppend, machen zu wenig, zu wenig mutig)"
"f13a",18,"Zuwenig für Familien, Kinder, Jugendliche"
"f13a","18a","Zu wenig im Bereich Bildungspolitik / Schulwesen"
"f13a",19,"Zuwenig Junge in der Politik"
"f13a","1a","Zu linke Politik"
"f13a","1b","Zu rot-grüne Politik"
"f13a","1c","Setzt falsche Prioritäten"
"f13a","1d","Zu einseitige Politik"
"f13a","1e","Entscheidet nicht nach meiner Vorstellung / beachtet meine Anliegen/Interessen nicht"
"f13a","1f","es sind die falschen Personen dort (Personen, die nicht in der Stadt aufgewachsen sind)"
"f13a",2,"Keine politischen Rechte als Ausländer/in"
"f13a",20,"Bürokratie / zu kompliziert"
"f13a",21,"Zuwenig für die Umwelt, Verkehr"
"f13a","21a","Zu wenig für die Umwelt"
"f13a","21b","Zu wenig / falsche Richtung im Bereich Verkehr"
"f13a","21c","Zu viel Priorität / Förderung Velo(s) (Veloanarchie)"
"f13a","21d","Zu wenig Priorität / Förderung Velo(s) (zu wenig Velowege)"
"f13a",22,"Zu wenig für (Integration der) Ausländer / Sprachproblem"
"f13a",23,"Zu wenig für Arbeitnehmer unternommen, zu wenig vertreten"
"f13a",24,"Zu wenig für Randständige / Sozial benachteiligte, Drogenabhängige, Arbeitslose"
